scope,scope_kind,category_name,element_id,element_type,element_name,satisfaction,is_measured_seed
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,14,Task,Resolve via administrative appeal to the Prefecture,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,15,Task,Insert Date Appeal to Prefecture,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,16,Task,Send Appeal to Prefecture,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,17,Task,Receive Result Appeal from Prefecture,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,18,Task,Notify Result Appeal to Offender,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,19,Task,Resolve via judicial appeal to the Judge,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,21,Softgoal,Minimize administrative & enforcement cost,-50,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,22,Softgoal,Maximize timely fine revenue,-50,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,23,Softgoal,Preserve offender's due-process rights,0,False
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,112,Indicator,Time to fine dispatch (days),1,True
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,113,Indicator,"Time to appeal filing, Prefecture (days)",100,True
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,175,Indicator,"Time to appeal filing, Judge (days)",-100,True
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,114,Indicator,Average time to case closure (days),-100,True
judicial_appeal,category,Resolve via judicial appeal to the Judge,2,Goal,"Every issued fine reaches a lawful, documented closure",0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,3,Goal,Fine is issued and formally communicated,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,4,Goal,Fine case is resolved,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,5,Goal,Fine becomes enforceable and is resolved,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,6,Goal,Enforced case is closed,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,7,Goal,Contested appeal is resolved,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,8,Task,Create Fine,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,9,Task,Send Fine,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,10,Task,Insert Fine Notification,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,11,Task,Add Penalty,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,12,Task,Resolve via timely payment,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,13,Task,Resolve via delinquent payment,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,14,Task,Resolve via administrative appeal to the Prefecture,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,15,Task,Insert Date Appeal to Prefecture,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,16,Task,Send Appeal to Prefecture,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,17,Task,Receive Result Appeal from Prefecture,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,18,Task,Notify Result Appeal to Offender,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,19,Task,Resolve via judicial appeal to the Judge,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,21,Softgoal,Minimize administrative & enforcement cost,-50,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,22,Softgoal,Maximize timely fine revenue,-50,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,23,Softgoal,Preserve offender's due-process rights,0,False
judicial_appeal,category,Resolve via judicial appeal to the Judge,112,Indicator,Time to fine dispatch (days),-1,True
judicial_appeal,category,Resolve via judicial appeal to the Judge,113,Indicator,"Time to appeal filing, Prefecture (days)",100,True
judicial_appeal,category,Resolve via judicial appeal to the Judge,175,Indicator,"Time to appeal filing, Judge (days)",-100,True
judicial_appeal,category,Resolve via judicial appeal to the Judge,114,Indicator,Average time to case closure (days),-100,True
